"filename", "language", "HTML", "Markdown", "Ignore", "XML", "YAML", "C#", "Docker", "JSON", "JavaScript", "CSS", "EditorConfig", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\PC-1\Projects\eShop-Project\src\.dockerignore", "Ignore", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\PC-1\Projects\eShop-Project\src\.idea\.idea.src\.idea\encodings.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\PC-1\Projects\eShop-Project\src\.idea\.idea.src\.idea\indexLayout.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\PC-1\Projects\eShop-Project\src\.idea\.idea.src\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Basket.Api.csproj", "XML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Controllers\ShoppingCartApiController.cs", "C#", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Entities\ShoppingCart.cs", "C#", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Entities\ShoppingCartItems.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Helpers\AppException.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Helpers\ErrorHandlingMiddleware.cs", "C#", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 6, 46
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\PC-1\Projects\eShop-Project\src\Basket.Api\Repositories\IShoppingCartRepository.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
